Timestamp,Headquarters ElecMeter-Main kW,Headquarters ElecMeter-Main kWh,Headquarters GasMeter-Main Consumption,Headquarters WaterMeter-Main Consumption
2022-07-01T00:00:00-04:00 New_York,111,111,0,0
2022-07-01T00:15:00-04:00 New_York,113,"",0,0
2022-07-01T00:30:00-04:00 New_York,110,"",0,0
2022-07-01T00:45:00-04:00 New_York,110,"",0,0
2022-07-01T01:00:00-04:00 New_York,110,110.75,0,0
2022-07-01T01:15:00-04:00 New_York,110,"",0,0
2022-07-01T01:30:00-04:00 New_York,110,"",0,0
2022-07-01T01:45:00-04:00 New_York,113,"",0,0.6000000238418579
2022-07-01T02:00:00-04:00 New_York,111,109.5,0,0
2022-07-01T02:15:00-04:00 New_York,115,"",0,0
2022-07-01T02:30:00-04:00 New_York,107,"",0,0
2022-07-01T02:45:00-04:00 New_York,105,"",0,0
2022-07-01T03:00:00-04:00 New_York,111,110.25,0,0
2022-07-01T03:15:00-04:00 New_York,110,"",1.399999976158142,0
2022-07-01T03:30:00-04:00 New_York,111,"",1.2000000476837158,0
2022-07-01T03:45:00-04:00 New_York,109,"",0,1.2999999523162842
2022-07-01T04:00:00-04:00 New_York,111,110,0,0
2022-07-01T04:15:00-04:00 New_York,112,"",0,0
2022-07-01T04:30:00-04:00 New_York,108,"",0,0
2022-07-01T04:45:00-04:00 New_York,109,"",0,0
2022-07-01T05:00:00-04:00 New_York,106,121.75,0,0
2022-07-01T05:15:00-04:00 New_York,109,"",0,0
2022-07-01T05:30:00-04:00 New_York,163,"",0,0
2022-07-01T05:45:00-04:00 New_York,109,"",0,0
2022-07-01T06:00:00-04:00 New_York,110,108.75,1.399999976158142,0
2022-07-01T06:15:00-04:00 New_York,108,"",1.399999976158142,0
2022-07-01T06:30:00-04:00 New_York,106,"",0,0
2022-07-01T06:45:00-04:00 New_York,111,"",0,0
2022-07-01T07:00:00-04:00 New_York,72,130,0,0
2022-07-01T07:15:00-04:00 New_York,68,"",0,0
2022-07-01T07:30:00-04:00 New_York,190,"",0,0
2022-07-01T07:45:00-04:00 New_York,190,"",0,1.2999999523162842
2022-07-01T08:00:00-04:00 New_York,187,412.25,0,0
2022-07-01T08:15:00-04:00 New_York,508,"",0,7.400000095367432
2022-07-01T08:30:00-04:00 New_York,529,"",0,2.0999999046325684
2022-07-01T08:45:00-04:00 New_York,425,"",0,0
2022-07-01T09:00:00-04:00 New_York,363,432,1.5,6.699999809265137
2022-07-01T09:15:00-04:00 New_York,382,"",0,0
2022-07-01T09:30:00-04:00 New_York,397,"",0,0
2022-07-01T09:45:00-04:00 New_York,586,"",0,9.399999618530273
2022-07-01T10:00:00-04:00 New_York,471,474.75,0,6.599999904632568
2022-07-01T10:15:00-04:00 New_York,508,"",1.5,5.199999809265137
2022-07-01T10:30:00-04:00 New_York,440,"",1.5,4.5
2022-07-01T10:45:00-04:00 New_York,480,"",0,3
2022-07-01T11:00:00-04:00 New_York,468,540.75,0,2.5
2022-07-01T11:15:00-04:00 New_York,609,"",0,4.199999809265137
2022-07-01T11:30:00-04:00 New_York,558,"",0,0
2022-07-01T11:45:00-04:00 New_York,528,"",1.2999999523162842,9.399999618530273
2022-07-01T12:00:00-04:00 New_York,510,535.5,1.399999976158142,0
2022-07-01T12:15:00-04:00 New_York,533,"",0,7.800000190734863
2022-07-01T12:30:00-04:00 New_York,545,"",0,5.300000190734863
2022-07-01T12:45:00-04:00 New_York,554,"",0,0
2022-07-01T13:00:00-04:00 New_York,561,574,0,0
2022-07-01T13:15:00-04:00 New_York,576,"",1.2000000476837158,4.699999809265137
